word,frequency
the,80030
and,38313
that,12512
was,11410
his,10034
with,9740
had,7383
for,6941
not,6626
from,5709
but,5653
you,5622
her,5284
him,5230
which,4842
were,4289
all,4144
this,4063
she,3946
they,3938
are,3630
have,3493
said,3464
one,3371
who,3050
what,3011
there,2972
their,2955
when,2923
been,2599
may,2551
them,2241
into,2124
more,1997
out,1987
pierre,1964
would,1953
prince,1935
did,1875
only,1873
could,1700
now,1697
man,1652
its,1635
has,1603
will,1577
then,1558
some,1536
time,1529
after,1504
other,1502
about,1497
such,1436
before,1363
very,1340
how,1315
should,1297
over,1282
your,1279
these,1231
natasha,1212
new,1211
than,1206
any,1204
those,1201
well,1198
old,1180
first,1177
andrew,1169
himself,1158
men,1145
two,1138
down,1128
face,1125
upon,1111
see,1101
can,1095
like,1080
french,1070
our,1066
same,1052
know,1048
without,1015
went,1008
made,1007
little,1001
long,991
states,981
came,979
where,977
under,963
room,960
must,955
even,946
eyes,939
come,934
still,922
princess,919
being,918
most,908
thought,902
people,899
war,881
life,878
again,866
way,859
another,841
away,838
general,836
left,834
hand,834
day,819
through,815
began,810
great,792
own,785
also,778
asked,777
rostov,776
while,768
just,767
army,764
looked,760
say,755
american,755
count,748
back,746
whole,744
good,744
shall,735
head,725
moscow,723
right,710
mary,705
part,704
government,698
felt,697
seemed,695
here,691
yes,688
something,683
why,674
having,673
place,673
much,671
state,664
house,661
against,660
between,654
every,650
though,650
nothing,646
emperor,639
heard,636
nicholas,635
off,634
because,630
young,627
bone,625
take,616
disease,615
many,609
always,608
napoleon,607
saw,599
never,593
three,584
don,581
tissue,579
skin,579
took,573
years,571
once,569
look,567
last,565
united,561
think,557
round,556
found,549
power,548
too,548
blood,548
met,544
might,536
father,533
kutuzov,530
both,529
usually,529
small,527
give,523
side,511
form,507
let,506
make,504
during,503
quite,502
turned,502
door,498
countess,497
knew,496
suddenly,496
tell,492
told,490
whom,489
looking,489
yet,488
moment,487
already,487
love,484
large,483
get,468
holmes,467
end,465
treatment,464
chapter,464
officer,463
voice,462
russian,461
words,460
few,458
hands,455
cases,453
days,453
among,451
everything,451
called,450
dear,449
sonya,447
congress,445
seen,444
often,443
gave,442
battle,440
history,439
case,438
taken,438
put,435
position,432
law,432
denisov,432
however,430
done,428
smile,426
sometimes,425
country,423
free,421
soon,421
understand,412
each,411
known,411
soldiers,411
others,410
become,409
far,408
brought,406
order,404
along,404
sat,403
especially,403
behind,401
women,390
course,389
result,386
night,385
patient,383
stood,383
work,382
joint,382
anything,379
cause,376
going,376
evidently,374
several,373
president,371
passed,367
wife,367
less,367
infection,366
matter,365
given,364
god,363
world,362
feeling,362
certain,361
front,359
chief,359
does,358
whether,357
action,357
white,353
question,348
movement,347
condition,346
son,343
mind,341
herself,341
possible,339
alone,337
morning,337
body,337
later,334
horse,334
toward,331
death,330
followed,329
present,329
dolokhov,329
labor,328
necessary,327
money,326
set,325
woman,325
almost,325
until,325
open,325
nerve,324
want,323
ran,322
things,321
expression,321
act,321
use,320
replied,320
fig,320
sent,319
troops,319
half,318
south,318
business,316
officers,316
became,314
within,313
mother,312
england,311
commander,310
year,309
taking,304
wound,304
themselves,304
thing,303
pain,303
number,301
leave,300
america,299
word,298
added,298
above,298
party,298
table,296
parts,296
home,295
lay,295
find,294
anna,294
either,293
near,293
tissues,293
boris,293
enemy,292
constitution,292
continued,291
fact,291
high,290
letter,290
four,289
project,288
red,288
public,288
held,287
common,287
talk,287
example,286
west,286
important,285
national,285
illustration,285
friend,283
cried,283
entered,282
carried,282
received,280
second,280
nor,280
got,280
five,279
land,279
surface,279
light,278
next,277
cannot,277
used,276
glands,275
ever,274
fire,274
different,274
itself,273
union,273
really,272
twenty,272
around,271
saying,270
early,270
sitting,269
best,268
petya,268
full,267
better,266
evening,265
british,265
gutenberg,263
name,262
horses,262
arm,262
bones,262
since,260
together,260
road,260
political,260
thousand,259
cold,257
heart,256
speak,255
forms,255
shouted,254
means,253
ask,251
kept,251
impossible,250
arms,249
vessels,249
due,249
line,248
moved,248
petersburg,247
becomes,245
rose,243
wish,243
vasili,243
conditions,242
system,241
tuberculous,241
drawing,240
rise,240
gone,240
third,239
force,239
king,238
times,236
everyone,236
short,236
black,235
formed,235
pressure,235
hair,234
laws,233
clear,233
fellow,233
longer,232
remained,231
children,231
help,230
ready,230
regiment,230
results,229
hundred,229
forward,229
air,228
military,228
myself,227
peace,227
north,227
wounded,227
rode,227
answered,226
beyond,225
tried,225
crowd,225
